id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion	htmlpath	best_actress	best_supp_actress	best_supp_actor	create_dt	update_dt	canonical	imdbid
	Min and Bill	1930	1	1	George W. Hill	66 minutes		George W. Hill,Harry Rapf	Marie Dressler,Wallace Beery		Harold Wenstrom	Basil Wrangell	Metro-Goldwyn-Mayer	November 29, 1930 (1930)			United States	English		$2 million[1]	/wiki/Min_and_Bill	minandbill									wiki/Min_and_Bill.html	W				2016-03-08 14:47:06	/wiki/Min_and_Bill	tt0021148
	With Byrd at the South Pole	1930	1	1		82 minutes		Jesse L. Lasky,Adolph Zukor	Richard E. Byrd	Manny Baer	Joseph T. Rucker,Willard Van der Veer	Emanuel Cohen	Paramount Pictures	June 19, 1930			United States	English			/wiki/With_Byrd_at_the_South_Pole	withbyrdatthesouthpole			W						wiki/With_Byrd_at_the_South_Pole.html					2016-03-08 17:12:56	/wiki/With_Byrd_at_the_South_Pole	tt0020594
	Whoopee	1930			Thornton Freeland	101 minutes		Samuel Goldwyn,Florenz Ziegfeld	Eddie Cantor,Ethel Shutta,Paul Gregory,Eleanor Hunt	Nacio Herb Brown,Walter Donaldson,Edward Eliscu	Lee Garmes,Ray Rennahan,Gregg Toland (Technicolor)	Stuart Heisler	United Artists	September 30, 1930 (1930-09-30)		Samuel Goldwyn Productions	United States	English	$1.3 million[1]	$2,655,000[2]	/wiki/Whoopee!_(film)	whoopee									wiki/Whoopee!_(film).html					2016-03-08 19:01:35	/wiki/Whoopee!_(film)	tt0021549
	Ladies of Leisure	1930			Frank Capra	99 minutes	Jo Swerling	Frank Capra (uncredited),Harry Cohn	Barbara Stanwyck,Ralph Graves	Mischa Bakaleinikoff (uncredited)	Joseph Walker	Maurice Wright	Columbia Pictures	April 5, 1930 (1930-04-05)		Columbia Pictures	United States	English			/wiki/Ladies_of_Leisure	ladiesofleisure									wiki/Ladies_of_Leisure.html					2016-03-08 18:38:02	/wiki/Ladies_of_Leisure	tt0021040
	Rain or Shine	1930			Frank Capra	90 minutes		Harry Cohn	Joe Cook,Louise Fazenda				Columbia Pictures	August 15, 1930 (1930-08-15)		Columbia Pictures,Frank R. Capra Production	United States	English			/wiki/Rain_or_Shine_(film)	rainorshine									wiki/Rain_or_Shine_(film).html					2016-03-08 18:44:33	/wiki/Rain_or_Shine_(film)	tt0021282
	Animal Crackers	1930			Victor Heerman	97 minutes			Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Lillian Roth,Margaret Dumont	Bert Kalmar,Harry Ruby			Paramount Pictures	August 23, 1930 (1930-08-23)			United States	English			/wiki/Animal_Crackers_(1930_film)	animalcrackers									wiki/Animal_Crackers_(1930_film).html					2016-03-08 19:12:35	/wiki/Animal_Crackers_(1930_film)	tt0020640
	L'Age d'Or	1930			Luis Buñuel	63 minutes		Vicomte Charles de Noailles,Marie-Laure de Noailles	Gaston Modot,Lya Lys,Caridad de Laberdesque,Lionel Salem,Max Ernst,Germaine Noizet,Josep Llorens Artigas,Duchange,Ibanez	Luis Buñuel,Georges van Parys	Albert Duverger	Luis Buñuel	Corinth Films (1979 U.S. release)	29 November 1930				French	1 million francs		/wiki/L'Age_d'Or	lagedor									wiki/L'Age_d'Or.html					2016-03-08 00:13:30	/wiki/L%27Age_d%27Or	tt0021577
	Juno and the Paycock	1930			Alfred Hitchcock	85 min.	Alfred Hitchcock	John Maxwell	Barry Fitzgerald,Maire O'Neill,Edward Chapman,Sidney Morgan,Sara Allgood		Jack E. Cox	Emile de Ruelle	Wardour Films (UK),Harold Auten (US)	1930 (UK),29 June 1930 (US)	Sean O'Casey,Alma Reville			English			/wiki/Juno_and_the_Paycock_(film)	junoandthepaycock									wiki/Juno_and_the_Paycock_(film).html					2016-03-08 21:34:24	/wiki/Juno_and_the_Paycock_(film)	tt0021015
	Murder!	1930			Alfred Hitchcock	98 minutes	Alfred Hitchcock,Walter Mycroft,Alma Reville	John Maxwell,(Uncredited)	Herbert Marshall,Norah Baring	John Reynders,(musical director)	J. J. Cox	Rene Marrison,under the supervision of Emile de Ruelle	British International Pictures Inc. (US),Wardour Films (UK)	31 July 1930			United Kingdom	English			/wiki/Murder!_(1930_film)	murder									wiki/Murder!_(1930_film).html					2016-03-08 21:34:29	/wiki/Murder!_(1930_film)	tt0021165
	Elstree Calling	1930			Alfred Hitchcock,Andre Charlot,Jack Hulbert,Paul Murray	86 minutes			Teddy Brown,Helen Burnell,Donald Calthrop		Claude Friese-Greene		British International Pictures (UK)	1930			United Kingdom				/wiki/Elstree_Calling	elstreecalling									wiki/Elstree_Calling.html					2016-03-08 21:34:34	/wiki/Elstree_Calling	tt0020852
	Madam Satan	1930			Cecil B. DeMille	116 minutes		Cecil B. DeMille	Kay Johnson,Reginald Denny,Lillian Roth	Clifford Grey,Elsie Janis,Herbert Stothart,(Ballet Mecanique, uncredited)	Harold Rosson	Anne Bauchens	Metro-Goldwyn-Mayer	September 20, 1930 (1930-09-20)			United States	English			/wiki/Madam_Satan	madamsatan									wiki/Madam_Satan.html					2016-03-09 00:45:18	/wiki/Madam_Satan	tt0021106
	The Green Goddess	1930			Alfred E. Green	73 minutes		Walter Morosco	George Arliss,Ralph Forbes,H.B. Warner,Alice Joyce	Louis Silvers	James Van Trees	James Gibbon	Warner Bros. Pictures, Inc.	February 13, 1930 (1930-02-13)			United States	English			/wiki/The_Green_Goddess_(1930_film)	thegreengoddess		N							wiki/The_Green_Goddess_(1930_film).html					2016-03-09 00:38:46	/wiki/The_Green_Goddess_(1930_film)	tt0020938
	The Big Pond	1930			Hobart Henley	78 minutes		Monta Bell	Maurice Chevalier,Claudette Colbert	Irving Kahal,Al Sherman,Lew Brown,Ray Henderson,Sammy Fain,Al Lewis,B. G. DeSylva,Pierre Norman	George J. Folsey	Emma Hill	Paramount Pictures	May 3, 1930			United States	English			/wiki/The_Big_Pond	thebigpond		N							wiki/The_Big_Pond.html					2016-03-09 00:48:59	/wiki/The_Big_Pond	tt0020690
	The Rogue Song	1930			Lionel Barrymore,Hal Roach (uncredited)	104 minutes	John Colton,Frances Marion	Irving Thalberg	Lawrence Tibbett,Catherine Dale Owen	Herbert Stothart,Franz Lehár,Clifford Grey,Dimitri Tiomkin (ballet)[1]	Percy Hilburn,Charles Edgar Schoenbaum,(Technicolor)	Margaret Booth	Metro-Goldwyn-Mayer	January 28, 1930 (1930-01-28) ('NYC),February 17, 1930 (1930-02-17) (LA),May 10, 1930 (1930-05-10) (US)			United States	English	$646,000 (final negative cost)[2]	$1,610,000 (worldwide)[2]	/wiki/The_Rogue_Song	theroguesong		N							wiki/The_Rogue_Song.html					2016-03-09 00:49:03	/wiki/The_Rogue_Song	tt0021307
	The Royal Family of Broadway	1930			George Cukor,Cyril Gardner	82 min.			Ina Claire, Fredric March, Mary Brian, Henrietta Crosman		George Folsey		Paramount Pictures	December 22, 1930 (U.S.)			United States	English			/wiki/The_Royal_Family_of_Broadway	theroyalfamilyofbroadway		N							wiki/The_Royal_Family_of_Broadway.html					2016-03-09 00:49:07	/wiki/The_Royal_Family_of_Broadway	tt0021322
	Anna Christie	1930			Clarence Brown	89 minutes		Clarence Brown,Paul Bern,Irving Thalberg	Greta Garbo,Charles Bickford,George F. Marion,Marie Dressler		William Daniels	Hugh Wynn	Metro-Goldwyn-Mayer	February 21, 1930 (1930-02-21)			United States	English		$1.5 million[1]	/wiki/Anna_Christie_(1930_English-language_film)	annachristie			N	N					wiki/Anna_Christie_(1930_English-language_film).html	N				2016-03-09 11:32:55	/wiki/Anna_Christie_(1930_English-language_film)	tt0020641
	Romance	1930			Clarence Brown	76 minutes		Clarence Brown	Greta Garbo,Lewis Stone	William Axt	William H. Daniels	Hugh Wynn	Metro-Goldwyn-Mayer	August 22, 1930 (1930-08-22)[1]			United States	English			/wiki/Romance_(1930_film)	romance				N					wiki/Romance_(1930_film).html					2016-03-09 11:32:59	/wiki/Romance_(1930_film)	tt0021310
	Morocco	1930			Josef von Sternberg	91 minutes	Jules Furthman	Hector Turnbull	Gary Cooper,Marlene Dietrich,Adolphe Menjou	Karl Hagos	Lee Garmes	Sam Winston (uncredited)	Paramount Pictures	November 14, 1930 (1930-11-14) (USA)		Paramount Pictures	United States	English, French, Spanish, Italian, Arabic			/wiki/Morocco_(film)	morocco			N	N					wiki/Morocco_(film).html	N				2016-03-09 11:33:10	/wiki/Morocco_(film)	tt0021156
	Hell's Angels	1930			Howard Hughes,James Whale (uncredited),Edmund Goulding (uncredited),Fred Fleck (assistant)	131 minutes		Howard Hughes	Ben Lyon,James Hall,Jean Harlow	Hugo Riesenfeld (uncredited)	Tony Gaudio,Harry Perry	Douglass Biggs,Frank Lawrence,Perry Hollingsworth (uncredited)	United Artists	November 15, 1930 (1930-11-15)			United States	English	$3.95 million (estimated)[1]	$8 million	/wiki/Hell's_Angels_(film)	hellsangels			N						wiki/Hell's_Angels_(film).html					2016-03-08 00:19:58	/wiki/Hell%27s_Angels_(film)	tt0020960
2383	The Right To Love	1930			Richard Wallace				Ruth Chatterton, Paul Lukas, David Manners, Irving Pichel												/w/index.php?title=The_Right_to_Love&amp;action=edit&amp;redlink=1	windexphptitletherighttoloveampactioneditampredlink1			N													tt0021301
	The Blue Angel	1930			Josef von Sternberg	99 minutes		Erich Pommer	Emil Jannings,Marlene Dietrich,Kurt Gerron	Friedrich Hollaender,Robert Liebmann (lyrics),Franz Waxman (orchestrations)	Günther Rittau	Walter Klee,Sam Winston	UFA,Paramount Pictures	1 April 1930 (1930-04-01) (Germany)[1],5 December 1930 (1930-12-05) (United States)			Germany (Weimar Republic)	German,English		$77,982 (2001 re-release)[1]	/wiki/The_Blue_Angel	theblueangel									wiki/The_Blue_Angel.html					2016-03-09 13:32:07	/wiki/The_Blue_Angel	tt0020697
3322	Monte Carlo	1930			Ernst Lubitsch	90 minutes		Ernst Lubitsch	Jack Buchanan,Jeanette MacDonald,Claud Allister	W. Franke Harling	Victor Milner		Paramount Pictures	August 27, 1930 (1930-08-27)			United States	English			/wiki/Monte_Carlo_(1930_film)	montecarlo															/wiki/Monte_Carlo_(1930_film)	tt0021153
	Holiday	1930			Edward H. Griffith	98 minutes		E. B. Derr	Ann Harding,Mary Astor,Hedda Hopper,Edward Everett Horton,Monroe Owsley	Josiah Zuro	Norbert Brodine		Pathé Exchange	July 3, 1930 (1930-07-03) (United States)			United States	English			/wiki/Holiday_(1930_film)	holiday									wiki/Holiday_(1930_film).html	N					/wiki/Holiday_(1930_film)	tt0020985
	Sarah and Son	1930			Dorothy Arzner	86 minutes			Ruth Chatterton,Fredric March	Oscar Potoker	Charles Lang		Paramount Pictures	March 14, 1930 (1930-03-14)			United States	English			/wiki/Sarah_and_Son	sarahandson									wiki/Sarah_and_Son.html	N					/wiki/Sarah_and_Son	tt0021335
	The Devil's Holiday	1930			Edmund Goulding	9 reels			Nancy Carroll	Edmund Goulding,Leo Robin,Howard Jackson (uncredited),John Leipold (uncredited)	Harry Fischbeck,Enzo Riccioni	George Nichols Jr.	Paramount Pictures	May 9, 1930			USA	English			/wiki/The_Devil's_Holiday	thedevilsholiday									wiki/The_Devil's_Holiday.html	N				2016-03-08 11:14:20	/wiki/The_Devil%27s_Holiday	tt0020823
	Bad Girl	1931	3	2	Frank Borzage	90 minutes			Sally Eilers,James Dunn,Minna Gombell		Chester Lyons	Margaret Clancey	Fox Film Corporation	September 19, 1931 (US)[1]			United States	English		$1.1 million[2]	/wiki/Bad_Girl_(1931_film)	badgirl	N			W					wiki/Bad_Girl_(1931_film).html					2016-03-08 11:39:16	/wiki/Bad_Girl_(1931_film)	tt0021635
	The Champ	1931	4	2	King Vidor	87 minutes		King Vidor,Harry Rapf(uncredited),Irving Thalberg(uncredited)	Wallace Beery,Jackie Cooper,Irene Rich,Roscoe Ates	Irving Berlin	Gordon Avil	Hugh Wynn	Metro-Goldwyn-Mayer	November 9, 1931 (1931-11-09)			United States	English		$1.5 million[1]	/wiki/The_Champ_(1931_film)	thechamp	N	W		N					wiki/The_Champ_(1931_film).html					2016-03-08 12:35:17	/wiki/The_Champ_(1931_film)	tt0021730
	Cimarron	1931	7	3	Wesley Ruggles	124 minutes[1]	Howard Estabrook,Louis Sarecky	William LeBaron,Louis Sarecky (assoc.)[1]	Richard Dix,Irene Dunne	Max Steiner	Edward Cronjager	William Hamilton	RKO Radio Pictures	January 26, 1931 (1931-01-26) (Premiere-New York City)[1],February 9, 1931 (1931-02-09) (US)[1]		RKO Radio Pictures	United States	English	$1,433,000[2]	$1,383,000[2]	/wiki/Cimarron_(1931_film)	cimarron	W	N	N	N					wiki/Cimarron_(1931_film).html	N				2016-03-08 12:30:17	/wiki/Cimarron_(1931_film)	tt0021746
	Dr. Jekyll and Mr. Hyde	1931	3	1	Rouben Mamoulian	98 minutes	Samuel Hoffenstein,Percy Heath	Rouben Mamoulian	Fredric March	Herman Hand	Karl Struss	William Shea	Paramount Pictures	December 31, 1931 (1931-12-31) (NYC),January 2, 1932 (1932-01-02) ((US gen))			United States	English	$535,000[1]	$1,250,000[2]	/wiki/Dr._Jekyll_and_Mr._Hyde_(1932_film)	drjekyllandmrhyde		W	N						wiki/Dr._Jekyll_and_Mr._Hyde_(1932_film).html					2016-03-08 12:52:40	/wiki/Dr._Jekyll_and_Mr._Hyde_(1932_film)	tt0022835
	A Free Soul	1931	3	1	Clarence Brown	91 minutes		Irving Thalberg	Norma Shearer		William Daniels	Hugh Wynn	Metro-Goldwyn-Mayer	June 2, 1931 (1931-06-02) (NYC),June 20, 1931 (1931-06-20) (US)			United States	English	$529,000[2]	$1,422,000[2]	/wiki/A_Free_Soul	afreesoul		W		N					wiki/A_Free_Soul.html	N				2016-03-08 13:16:14	/wiki/A_Free_Soul	tt0021885
	The Sin of Madelon Claudet	1931	1	1	Edgar Selwyn	75 minutes		Irving Thalberg	Helen Hayes,Lewis Stone,Jean Hersholt,Robert Young		Oliver T. Marsh	Tom Held	Metro-Goldwyn-Mayer	October 24, 1931 (1931-10-24)			United States	English			/wiki/The_Sin_of_Madelon_Claudet	thesinofmadelonclaudet									wiki/The_Sin_of_Madelon_Claudet.html					2016-03-08 16:51:04	/wiki/The_Sin_of_Madelon_Claudet	tt0022386
	Skippy	1931	4	1	Norman Taurog	85 minutes		Adolph Zukor,Jesse L. Lasky,B.P. Schulberg	Jackie Cooper,Robert Coogan,Mitzi Green,Jackie Searl	John Leipold	Karl Struss		Paramount Pictures	April 5, 1931 (1931-04-05)			United States	English			/wiki/Skippy_(film)	skippy	N	N		W					wiki/Skippy_(film).html					2016-03-08 16:51:20	/wiki/Skippy_(film)	tt0022397
	Tabu	1931	1	1	F.W. Murnau	84 minutes		David Flaherty,Robert J. Flaherty,F.W. Murnau	Matahi,Anne Chevalier,Bill Brambridge	Hugo Riesenfeld	Floyd Crosby,Robert J. Flaherty	Arthur A. Brooks	Paramount Pictures	August 1, 1931 (1931-08-01)			United States	English	$150,000		/wiki/Tabu_(1931_film)	tabu			W						wiki/Tabu_(1931_film).html					2016-03-08 16:58:42	/wiki/Tabu_(1931_film)	tt0022458
	Transatlantic	1931	1	1	William K. Howard	78 minutes			Edmund Lowe		James Wong Howe	Jack Murray	Fox Film Corporation	August 30, 1931 (1931-08-30)			United States	English			/wiki/Transatlantic_(1931_film)	transatlantic									wiki/Transatlantic_(1931_film).html					2016-03-08 19:11:48	/wiki/Transatlantic_(1931_film)	tt0022500
	Wrestling Swordfish	1931	1	1	--	8 minutes		Mack Sennett	--					November 8, 1931 (1931-11-08)			United States	English			/wiki/Wrestling_Swordfish	wrestlingswordfish									wiki/Wrestling_Swordfish.html					2016-03-08 17:14:31	/wiki/Wrestling_Swordfish	tt0023711
	Frankenstein	1931			James Whale	71 minutes		Carl Laemmle, Jr.	Colin Clive,Mae Clarke,John Boles,Boris Karloff	Bernhard Kaun	Arthur Edeson	Clarence Kolster,Maurice Pivar	Universal Pictures	November 21, 1931 (1931-11-21)			United States	English	$262,007[1]	$12,000,000[2]	/wiki/Frankenstein_(1931_film)	frankenstein									wiki/Frankenstein_(1931_film).html					2016-03-08 18:32:57	/wiki/Frankenstein_(1931_film)	tt0021884
	City Lights	1931			Charlie Chaplin	87 minutes		Charlie Chaplin	Charlie Chaplin,Virginia Cherrill,Florence Lee,Harry Myers	Charlie Chaplin,Flower Girl's theme by José Padilla[1],Orchestrated by Arthur Johnston and Alfred Newman	Rollie Totheroh,Gordon Pollock,Mark Marklatt	Charlie Chaplin	United Artists	January 30, 1931 (1931-01-30)			United States	English	$1.5 million	$5,019,181	/wiki/City_Lights	citylights									wiki/City_Lights.html					2016-03-08 18:29:15	/wiki/City_Lights	tt0021749
	Dirigible	1931			Frank Capra	100 minutes		Harry Cohn,Frank Fouce	Jack Holt,Ralph Graves,Fay Wray,Hobart Bosworth		Maurice Wright	Joseph Walker	Columbia Pictures	April 4, 1931 (1931-04-04)			United States	English	$650,000		/wiki/Dirigible_(film)	dirigible									wiki/Dirigible_(film).html					2016-03-08 18:30:12	/wiki/Dirigible_(film)	tt0021799
	The Miracle Woman	1931			Frank Capra	90 minutes	Jo Swerling	Harry Cohn	Barbara Stanwyck		Joseph Walker	Maurice Wright	Columbia Pictures	August 7, 1931 (1931-08-07) (US)		Columbia Pictures	United States	English			/wiki/The_Miracle_Woman	themiraclewoman									wiki/The_Miracle_Woman.html					2016-03-08 18:56:10	/wiki/The_Miracle_Woman	tt0022153
	Platinum Blonde	1931			Frank R. Capra	89 mins.		Harry Cohn,Frank R. Capra	Loretta Young,Robert Williams,Jean Harlow	David Broekman (uncredited)	Joseph Walker	Gene Milford	Columbia Pictures	October 31, 1931 (1931-10-31) (United States)	Harry E. Chandlee,Douglas W. Churchill		United States	English			/wiki/Platinum_Blonde_(film)	platinumblonde									wiki/Platinum_Blonde_(film).html					2016-03-08 18:43:44	/wiki/Platinum_Blonde_(film)	tt0022268
	The House That Shadows Built	1931				47 minutes		Adolph Zukor,Jesse L. Lasky	Gloria Swanson,Kay Francis,Gary Cooper,Noah Beery,Ruth Chatterton,Marx Brothers,Claudette Colbert,Clara Bow				Paramount Pictures	1931 (1931)			United States	English			/wiki/The_House_That_Shadows_Built	thehousethatshadowsbuilt									wiki/The_House_That_Shadows_Built.html					2016-03-08 18:54:12	/wiki/The_House_That_Shadows_Built	tt0166220
	Monkey Business	1931			Norman Z. McLeod	79 minutes		Herman J. Mankiewicz	Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,Thelma Todd	John Leipold	Arthur L. Todd		Paramount Pictures	September 19, 1931 (1931-09-19),[1]			United States	English			/wiki/Monkey_Business_(1931_film)	monkeybusiness									wiki/Monkey_Business_(1931_film).html					2016-03-08 18:40:35	/wiki/Monkey_Business_(1931_film)	tt0022158
	M	1931			Fritz Lang	111 minutes[1]		Seymour Nebenzal	Peter Lorre,Otto Wernicke,Gustaf Gründgens	Edvard Grieg	Fritz Arno Wagner	Paul Falkenberg	Vereinigte Star-Film GmbH (Germany),Paramount Pictures (US),20th Century Fox (UK)	11 May 1931 (1931-05-11) (Germany)		Nero Film A.G.	Weimar Republic	German			/wiki/M_(1931_film)	m									wiki/M_(1931_film).html					2016-03-08 21:18:48	/wiki/M_(1931_film)	tt0022100
	The Skin Game	1931			Alfred Hitchcock	88 mins		John Maxwell	Edmund Gwenn,Helen Haye,C.V. France,Jill Esmond,John Longden,Phyllis Konstam		Jack E. Cox	A.R. Gobbett,Rene Marrison	Wardour Films Ltd.	26 February 1931 (UK)			United Kingdom	English			/wiki/The_Skin_Game_(1931_film)	theskingame									wiki/The_Skin_Game_(1931_film).html					2016-03-08 21:34:38	/wiki/The_Skin_Game_(1931_film)	tt0022395
	Mary	1931			Alfred Hitchcock	78 minutes			Alfred Abel,Olga Tschechowa		Jack E. Cox		British International Pictures (UK),Sud-Film (Germany)	2 March 1931 (1931-03-02)			Weimar Republic,United Kingdom	German			/wiki/Mary_(1931_film)	mary									wiki/Mary_(1931_film).html					2016-03-08 21:34:42	/wiki/Mary_(1931_film)	tt0021128
	Rich and Strange	1931			Alfred Hitchcock	92 min. (UK),83 min. (US)		John Maxwell	Henry Kendall,Joan Barry	Adolph Hallis	John "Jack" Cox,Charles Martin	Winifred Cooper,Rene Marrison	British International Pictures	10 December 1931 (UK),1 January 1931 (US)			United Kingdom	English			/wiki/Rich_and_Strange	richandstrange									wiki/Rich_and_Strange.html					2016-03-08 21:34:46	/wiki/Rich_and_Strange	tt0023395
	The Squaw Man	1931			Cecil B. DeMille	107 minutes	Lucien Hubbard,Lenore J. Coffee,Elsie Janis	Cecil B. DeMille	Warner Baxter,Lupe Velez,Eleanor Boardman	Herbert Stothart	Harold Rosson	Anne Bauchens	Metro-Goldwyn-Mayer	September 5, 1931 (1931-09-05)			United States	English			/wiki/The_Squaw_Man_(1931_film)	thesquawman									wiki/The_Squaw_Man_(1931_film).html					2016-03-09 00:35:59	/wiki/The_Squaw_Man_(1931_film)	tt0022428
	East Lynne	1931			Frank Lloyd	102 minutes, 9,188 ft., or 10 reels [2]			Ann Harding,Conrad Nagel,Clive Brook,Cecilia Loftus	Richard Fall,and Carli Elinor	John F. Seitz	Margaret Clancey [1]	Fox Film Corporation	February 20, 1931 (1931-02-20) (New York City)[2],March 31, 1931 (1931-03-31) (U.S.)			United States	English			/wiki/East_Lynne_(1931_film)	eastlynne	N								wiki/East_Lynne_(1931_film).html					2016-03-09 00:36:16	/wiki/East_Lynne_(1931_film)	tt0021826
	The Front Page	1931			Lewis Milestone	101 minutes		Lewis Milestone,Howard Hughes	Adolphe Menjou,Pat O'Brien,Mary Brian,Edward Everett Horton		Glen MacWilliams	W. Duncan Mansfield	United Artists	April 4, 1931 (1931-04-04)			United States	English		$700,000[1]	/wiki/The_Front_Page_(1931_film)	thefrontpage	N	N		N					wiki/The_Front_Page_(1931_film).html					2016-03-09 00:36:24	/wiki/The_Front_Page_(1931_film)	tt0021890
	Trader Horn	1931			W.S. Van Dyke	122 mins.	Richard Schayer	Irving Thalberg (uncredited)	Harry Carey,Edwina Booth,Duncan Renaldo		Clyde De Vinna	Ben Lewis	Metro-Goldwyn-Mayer	May 23, 1931 (1931-05-23) (United States)			United States	English	$1.3 million[1]		/wiki/Trader_Horn_(1931_film)	traderhorn	N								wiki/Trader_Horn_(1931_film).html					2016-03-09 00:36:29	/wiki/Trader_Horn_(1931_film)	tt0022495
	Arrowsmith	1931			John Ford	108 minutes		Samuel Goldwyn	Ronald Colman,Helen Hayes,Richard Bennett	Alfred Newman	Ray June	Hugh Bennett	United Artists	December 26, 1931 (1931-12-26)		Samuel Goldwyn Productions	United States	English		$1.25 million[1]	/wiki/Arrowsmith_(film)	arrowsmith	N		N						wiki/Arrowsmith_(film).html					2016-03-09 00:40:24	/wiki/Arrowsmith_(film)	tt0021622
	Five Star Final	1931			Mervyn LeRoy	89 minutes		Hal B. Wallis (uncredited)	Edward G. Robinson		Sol Polito	Frank Ware	Warner Bros.	September 26, 1931 (1931-09-26)		First National	United States	English			/wiki/Five_Star_Final	fivestarfinal	N								wiki/Five_Star_Final.html					2016-03-09 00:45:42	/wiki/Five_Star_Final	tt0021873
	The Smiling Lieutenant	1931			Ernst Lubitsch	89 minutes		Ernst Lubitsch	Maurice Chevalier,Claudette Colbert,Miriam Hopkins	Composer:,Oscar Straus,Musical Director:,Adolph Deutsch (uncredited)	George J. Folsey	Merrill G. White	Paramount Pictures	August 1, 1931 (1931-08-01) (US)			United States	English			/wiki/The_Smiling_Lieutenant	thesmilinglieutenant	N								wiki/The_Smiling_Lieutenant.html					2016-03-09 00:45:50	/wiki/The_Smiling_Lieutenant	tt0022074
	The Guardsman	1931			Sidney Franklin,Harold S. Bucquet (ass't director)	89 minutes (10 reels)		Albert Lewin (*uncredited),Irving Thalberg (*uncredited)	Alfred Lunt,Lynn Fontanne		Norbert Brodine	Conrad Nervig	Metro-Goldwyn-Mayer	November 7, 1931			United States	English			/wiki/The_Guardsman	theguardsman		N							wiki/The_Guardsman.html	N				2016-03-09 00:49:11	/wiki/The_Guardsman	tt0021931
	Svengali	1931			Archie Mayo	81 minutes			John Barrymore		Barney McGill	William Holmes	Warner Bros.	May 22, 1931 (1931-05-22)			United States	English			/wiki/Svengali_(1931_film)	svengali			N						wiki/Svengali_(1931_film).html					2016-03-09 11:36:17	/wiki/Svengali_(1931_film)	tt0022454
	The Public Enemy	1931			William A. Wellman	83 minutes[2][3]	Harvey F. Thew[1]	Darryl F. Zanuck	James Cagney,Jean Harlow,Edward Woods,Joan Blondell	David Mendoza[2]	Devereaux Jennings	Ed McCormick[2]	Warner Bros.	April 23, 1931 (1931-04-23)			United States	English	$151,000[4]		/wiki/The_Public_Enemy	thepublicenemy									wiki/The_Public_Enemy.html					2016-03-09 13:26:49	/wiki/The_Public_Enemy	tt0022286
3321	Le Million	1931			René Clair	81 minutes[1]			Annabella,René Lefèvre,Jean-Louis Allibert,Paul Ollivier	Armand Bernard,Philippe Parès,Georges Van Parys	Georges Périnal,Georges Raulet		Films Sonores Tobis	4 February 1931 (1931-02-04),[1]			France	French			/wiki/Le_Million	lemillion															/wiki/Le_Million	tt0022150
	A Farewell to Arms	1932	4	2	Frank Borzage	85 minutes	Benjamin Glazer,Oliver H.P. Garrett	Edward A. Blatt,Benjamin Glazer	Helen Hayes,Gary Cooper,Adolphe Menjou	Milan Roder	Charles Lang	Otho Lovering,George Nicholls, Jr.	Paramount Pictures	December 8, 1932 (1932-12-08) (United States)		Paramount Pictures	United States	English	$900,000[1]		/wiki/A_Farewell_to_Arms_(1932_film)	afarewelltoarms	N		W						wiki/A_Farewell_to_Arms_(1932_film).html					2016-03-08 13:13:25	/wiki/A_Farewell_to_Arms_(1932_film)	tt0022879
	Flowers and Trees	1932	1	1	Burt Gillett	8 minutes		Walt Disney					United Artists	July 30, 1932		Walt Disney Productions	United States	English			/wiki/Flowers_and_Trees	flowersandtrees									wiki/Flowers_and_Trees.html					2016-03-08 13:15:11	/wiki/Flowers_and_Trees	tt0022899
	Grand Hotel	1932	1	1	Edmund Goulding	112 minutes		Irving Thalberg	Greta Garbo,John Barrymore,Joan Crawford,Wallace Beery,Lionel Barrymore,Lewis Stone,Jean Hersholt	William Axt,Charles Maxwell	William H. Daniels	Blanche Sewell	Metro-Goldwyn-Mayer	April 12, 1932 (1932-04-12) (US)			United States	English	$750,000[1]	$2,250,000[2]	/wiki/Grand_Hotel_(1932_film)	grandhotel	W								wiki/Grand_Hotel_(1932_film).html					2016-03-08 13:22:04	/wiki/Grand_Hotel_(1932_film)	tt0022958
	The Music Box	1932	1	1	James Parrott	29:16		Hal Roach	Stan Laurel,Oliver Hardy	Harry Graham,Marvin Hatley,Leroy Shield	Len Powers,Walter Lundin	Richard C. Currier	Metro-Goldwyn-Mayer	April 16, 1932 (1932-04-16TUS)			United States	English			/wiki/The_Music_Box	themusicbox									wiki/The_Music_Box.html					2016-03-08 14:50:08	/wiki/The_Music_Box	tt0023251
	One Way Passage	1932	1	1	Tay Garnett	68 minutes	Wilson Mizner,Joseph Jackson	Robert Lord,Hal B. Wallis	William Powell,Kay Francis	W. Franke Harling	Robert Kurrle	Ralph Dawson	Warner Bros.	September 1932 (1932-09)	Robert Lord		United States	English	$350,000[1]	$1.1 million[1]	/wiki/One_Way_Passage	onewaypassage									wiki/One_Way_Passage.html					2016-03-08 16:36:17	/wiki/One_Way_Passage	tt0023305
